index,date,benchmark,params,exp,timeout,compile_time,cycles,alpha,beta,cost,killed,memory_used
127,Aug31-1025,2d-conv,16x16_4x4,270,180,390.7094976902008,6862,5.0,2.0,7039362.119999995,False,53.619744768
128,Aug31-1025,2d-conv,16x16_4x4,426,180,5.003904581069946,5836,-1.0,2025.0,6129970.151,False,0.146518016
129,Aug31-1025,2d-conv,16x16_4x4,284,180,299.61708879470825,7039,0.5,3.0,7039368.398999994,False,53.588381696
130,Aug31-1025,2d-conv,16x16_4x4,248,180,646.5182890892029,7283,-10.0,1.0,3986.623999999999,False,2.262880256
131,Aug31-1025,2d-conv,16x16_4x4,283,180,904.0328269004822,,-0.5,3.0,4011.328,False,9.7580032
132,Aug31-1025,2d-conv,16x16_4x4,421,180,40.585657596588135,7165,-4035.0,2025.0,4006.2959999999994,False,0.114888704
133,Aug31-1025,2d-conv,16x16_4x4,277,180,45.80161237716675,7033,-4040.0,3.0,3983.3539999999994,False,0.184700928
134,Aug31-1025,2d-conv,16x16_4x4,428,180,253.2521677017212,2302,1.0,2025.0,1361795.5469999982,False,31.794962432
135,Aug31-1025,2d-conv,16x16_4x4,241,180,61.34670329093933,7033,4040.0,0.0,3983.3539999999994,False,0.114847744
136,Aug31-1025,2d-conv,16x16_4x4,417,180,253.07882452011108,2422,4035.0,2020.0,1361795.5469999982,False,31.86075648
137,Aug31-1025,2d-conv,16x16_4x4,279,180,70.84282565116882,7159,-15.0,3.0,4021.3410000000003,False,0.152408064
138,Aug31-1025,2d-conv,16x16_4x4,410,180,10.567857265472412,5203,-1.0,2020.0,6049156.171000001,False,0.391688192
139,Aug31-1025,2d-conv,16x16_4x4,246,180,71.74080467224121,7159,-4035.0,1.0,4021.3410000000003,False,0.207265792
140,Aug31-1025,2d-conv,16x16_4x4,278,180,70.90232300758362,7159,-4035.0,3.0,4021.3410000000003,False,0.15253504
141,Aug31-1025,2d-conv,16x16_4x4,411,180,10.567880630493166,5203,-0.5,2020.0,6049156.171000001,False,0.36694016
142,Aug31-1025,2d-conv,16x16_4x4,247,180,70.97243213653564,7159,-15.0,1.0,4021.3410000000003,False,0.152641536
143,Aug31-1025,2d-conv,16x16_4x4,429,180,476.2820074558258,2678,0.5,2025.0,1362404.5469999984,False,12.083687424
